========================================================================================================
Results of exercise 1 with grid of 101x101, time discretization 99 and tolerance 1.000000e-12
========================================================================================================
Time = 0.00000e+00 	Iterations = 76 	Error = 0.000000000000e+00
Time = 6.34665e-02 	Iterations = 80 	Error = 6.342391965656e-02
Time = 1.26933e-01 	Iterations = 81 	Error = 1.265924535737e-01
Time = 1.90400e-01 	Iterations = 81 	Error = 1.892512443604e-01
Time = 2.53866e-01 	Iterations = 82 	Error = 2.511479871811e-01
Time = 3.17333e-01 	Iterations = 82 	Error = 3.120334456985e-01
Time = 3.80799e-01 	Iterations = 82 	Error = 3.716624556603e-01
Time = 4.44266e-01 	Iterations = 83 	Error = 4.297949120892e-01
Time = 5.07732e-01 	Iterations = 83 	Error = 4.861967361005e-01
Time = 5.71199e-01 	Iterations = 83 	Error = 5.406408174556e-01
Time = 6.34665e-01 	Iterations = 84 	Error = 5.929079290546e-01
Time = 6.98132e-01 	Iterations = 84 	Error = 6.427876096865e-01
Time = 7.61598e-01 	Iterations = 84 	Error = 6.900790114821e-01
Time = 8.25065e-01 	Iterations = 117 	Error = 7.345917086575e-01
Time = 8.88531e-01 	Iterations = 109 	Error = 7.761464642918e-01
Time = 9.51998e-01 	Iterations = 134 	Error = 8.145759520503e-01
Time = 1.01546e+00 	Iterations = 140 	Error = 8.497254299495e-01
Time = 1.07893e+00 	Iterations = 147 	Error = 8.814533634476e-01
Time = 1.14240e+00 	Iterations = 149 	Error = 9.096319953545e-01
Time = 1.20586e+00 	Iterations = 151 	Error = 9.341478602651e-01
Time = 1.26933e+00 	Iterations = 204 	Error = 9.549022414441e-01
Time = 1.33280e+00 	Iterations = 172 	Error = 9.718115683235e-01
Time = 1.39626e+00 	Iterations = 215 	Error = 9.848077530122e-01
Time = 1.45973e+00 	Iterations = 218 	Error = 9.938384644613e-01
Time = 1.52320e+00 	Iterations = 244 	Error = 9.988673391830e-01
Time = 1.58666e+00 	Iterations = 251 	Error = 9.998741276739e-01
Time = 1.65013e+00 	Iterations = 263 	Error = 9.968547759519e-01
Time = 1.71360e+00 	Iterations = 272 	Error = 9.898214418809e-01
Time = 1.77706e+00 	Iterations = 291 	Error = 9.788024462148e-01
Time = 1.84053e+00 	Iterations = 298 	Error = 9.638421585599e-01
Time = 1.90400e+00 	Iterations = 307 	Error = 9.450008187147e-01
Time = 1.96746e+00 	Iterations = 315 	Error = 9.223542941046e-01
Time = 2.03093e+00 	Iterations = 325 	Error = 8.959937742913e-01
Time = 2.09440e+00 	Iterations = 333 	Error = 8.660254037844e-01
